"","Country","District_Name","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","probable_cumulative","confirmed_cumulative"
"420","Guinea","LOLA","1/20/14",0,0,0,0,"LOLA",4,0,0
"422","Guinea","MACENTA","1/20/14",0,0,0,0,"MACENTA",4,0,0
"424","Guinea","MALI","1/20/14",0,0,0,0,"MALI",4,0,0
"426","Guinea","MAMOU","1/20/14",0,0,0,0,"MAMOU",4,0,0
"428","Guinea","N'ZEREKORE","1/20/14",0,0,0,0,"NZEREKORE",4,0,0
"430","Guinea","PITA","1/20/14",0,0,0,0,"PITA",4,0,0
"432","Guinea","SIGUIRI","1/20/14",0,0,0,0,"SIGUIRI",4,0,0
"434","Guinea","TELIMELE","1/20/14",0,0,0,0.0953101798043249,"TELIMELE",4,0,0
"436","Guinea","TOUGUE","1/20/14",0,0,0,0,"TOUGUE",4,0,0
"438","Guinea","YOMOU","1/20/14",0,0,0,0,"YOMOU",4,0,0
"440","Liberia","BOMI","1/20/14",0,0,0,0,"BOMI",4,0,0
"442","Liberia","BONG","1/20/14",0,0,0,0,"BONG",4,0,0
"444","Liberia","GBARPOLU","1/20/14",0,0,0,0,"GBARPOLU",4,0,0
"446","Liberia","GRAND BASSA","1/20/14",0,0,0,0,"GRAND BASSA",4,0,0
"448","Liberia","GRAND CAPE MOUNT","1/20/14",0,0,0,0,"GRAND CAPE MOUNT",4,0,0
"450","Liberia","GRAND GEDEH","1/20/14",0,0,0,0,"GRAND GEDEH",4,0,0
"452","Liberia","GRAND KRU","1/20/14",0,0,0,0,"GRAND KRU",4,0,0
"454","Liberia","LOFA","1/20/14",0,0,0,0,"LOFA",4,0,0
"456","Liberia","MARGIBI","1/20/14",0,0,0,0,"MARGIBI",4,0,0
"458","Liberia","MARYLAND","1/20/14",0,0,0,0,"MARYLAND",4,0,0
"460","Liberia","MONTSERRADO","1/20/14",0,0,0,0,"MONTSERRADO",4,0,0
"462","Liberia","NIMBA","1/20/14",0,0,0,0,"NIMBA",4,0,0
"464","Liberia","RIVER GEE","1/20/14",0,0,0,0,"RIVER GEE",4,0,0
"466","Liberia","RIVERCESS","1/20/14",0,0,0,0,"RIVERCESS",4,0,0
"468","Liberia","SINOE","1/20/14",0,0,0,0,"SINOE",4,0,0
"470","Sierra Leone","BO","1/20/14",0,0,0,0,"BO",4,0,0
"472","Sierra Leone","BOMBALI","1/20/14",0,0,0,0,"BOMBALI",4,0,0
"474","Sierra Leone","BONTHE","1/20/14",0,0,0,0,"BONTHE",4,0,0
"476","Sierra Leone","KAILAHUN","1/20/14",0,0,0,0,"KAILAHUN",4,0,0
"478","Sierra Leone","KAMBIA","1/20/14",0,0,0,0,"KAMBIA",4,0,0
"480","Sierra Leone","KENEMA","1/20/14",0,0,0,0,"KENEMA",4,0,0
"482","Sierra Leone","KOINADUGU","1/20/14",0,0,0,0,"KOINADUGU",4,0,0
"484","Sierra Leone","KONO","1/20/14",0,0,0,0,"KONO",4,0,0
"486","Sierra Leone","MOYAMBA","1/20/14",0,0,0,0,"MOYAMBA",4,0,0
"488","Sierra Leone","PORT LOKO","1/20/14",0,0,0,0,"PORT LOKO",4,0,0
"490","Sierra Leone","PUJEHUN","1/20/14",0,0,0,0,"PUJEHUN",4,0,0
"492","Sierra Leone","TONKOLILI","1/20/14",0,0,0,0,"TONKOLILI",4,0,0
"494","Sierra Leone","WESTERN AREA RURAL","1/20/14",0,0,0,0,"WESTERN AREA RURAL",4,0,0
"496","Sierra Leone","WESTERN AREA URBAN","1/20/14",0,0,0,0,"WESTERN AREA URBAN",4,0,0
"498","Guinea","BEYLA","1/27/14",0,0,0,0,"BEYLA",5,0,0
"500","Guinea","BOFFA","1/27/14",0,0,0,0.148420005118273,"BOFFA",5,0,0
"502","Guinea","BOKE","1/27/14",0,0,0,0,"BOKE",5,0,0
"504","Guinea","CONAKRY","1/27/14",0,0,0,0.148420005118273,"CONAKRY",5,0,0
"506","Guinea","COYAH","1/27/14",0,0,0,0.148420005118273,"COYAH",5,0,0
"508","Guinea","DABOLA","1/27/14",0,0,0,0,"DABOLA",5,0,0
"510","Guinea","DALABA","1/27/14",0,0,0,0,"DALABA",5,0,0
"512","Guinea","DINGUIRAYE","1/27/14",0,0,0,0,"DINGUIRAYE",5,0,0
"514","Guinea","DUBREKA","1/27/14",0,0,0,2.19722457733622,"DUBREKA",5,0,0
"516","Guinea","FARANAH","1/27/14",0,0,0,0,"FARANAH",5,0,0
"518","Guinea","FORECARIAH","1/27/14",0,0,0,0,"FORECARIAH",5,0,0
"520","Guinea","FRIA","1/27/14",0,0,0,0.148420005118273,"FRIA",5,0,0
"522","Guinea","GAOUAL","1/27/14",0,0,0,0,"GAOUAL",5,0,0
"524","Guinea","GUECKEDOU","1/27/14",3,0,0,0,"GUECKEDOU",5,0,0
"526","Guinea","KANKAN","1/27/14",0,0,0,0,"KANKAN",5,0,0
"528","Guinea","KEROUANE","1/27/14",0,0,0,0,"KEROUANE",5,0,0
"530","Guinea","KINDIA","1/27/14",0,0,0,0.148420005118273,"KINDIA",5,0,0
"532","Guinea","KISSIDOUGOU","1/27/14",0,0,0,0,"KISSIDOUGOU",5,0,0
"534","Guinea","KOUBIA","1/27/14",0,0,0,0,"KOUBIA",5,0,0
"536","Guinea","KOUNDARA","1/27/14",0,0,0,0,"KOUNDARA",5,0,0
"538","Guinea","KOUROUSSA","1/27/14",0,0,0,0,"KOUROUSSA",5,0,0
"540","Guinea","LABE","1/27/14",0,0,0,0,"LABE",5,0,0
"542","Guinea","LELOUMA","1/27/14",0,0,0,0,"LELOUMA",5,0,0
"544","Guinea","LOLA","1/27/14",0,0,0,0,"LOLA",5,0,0
"546","Guinea","MACENTA","1/27/14",0,0,0,0,"MACENTA",5,0,0
"548","Guinea","MALI","1/27/14",0,0,0,0,"MALI",5,0,0
"550","Guinea","MAMOU","1/27/14",0,0,0,0,"MAMOU",5,0,0
"552","Guinea","N'ZEREKORE","1/27/14",0,0,0,0,"NZEREKORE",5,0,0
"554","Guinea","PITA","1/27/14",0,0,0,0,"PITA",5,0,0
"556","Guinea","SIGUIRI","1/27/14",0,0,0,0,"SIGUIRI",5,0,0
"558","Guinea","TELIMELE","1/27/14",0,0,0,0.148420005118273,"TELIMELE",5,0,0
"560","Guinea","TOUGUE","1/27/14",0,0,0,0,"TOUGUE",5,0,0
"562","Guinea","YOMOU","1/27/14",0,0,0,0,"YOMOU",5,0,0
"564","Liberia","BOMI","1/27/14",0,0,0,0,"BOMI",5,0,0
"566","Liberia","BONG","1/27/14",0,0,0,0,"BONG",5,0,0
"568","Liberia","GBARPOLU","1/27/14",0,0,0,0,"GBARPOLU",5,0,0
"570","Liberia","GRAND BASSA","1/27/14",0,0,0,0,"GRAND BASSA",5,0,0
"572","Liberia","GRAND CAPE MOUNT","1/27/14",0,0,0,0,"GRAND CAPE MOUNT",5,0,0
"574","Liberia","GRAND GEDEH","1/27/14",0,0,0,0,"GRAND GEDEH",5,0,0
"576","Liberia","GRAND KRU","1/27/14",0,0,0,0,"GRAND KRU",5,0,0
"578","Liberia","LOFA","1/27/14",0,0,0,0,"LOFA",5,0,0
"580","Liberia","MARGIBI","1/27/14",0,0,0,0,"MARGIBI",5,0,0
"582","Liberia","MARYLAND","1/27/14",0,0,0,0,"MARYLAND",5,0,0
"584","Liberia","MONTSERRADO","1/27/14",0,0,0,0,"MONTSERRADO",5,0,0
"586","Liberia","NIMBA","1/27/14",0,0,0,0,"NIMBA",5,0,0
"588","Liberia","RIVER GEE","1/27/14",0,0,0,0,"RIVER GEE",5,0,0
"590","Liberia","RIVERCESS","1/27/14",0,0,0,0,"RIVERCESS",5,0,0
"592","Liberia","SINOE","1/27/14",0,0,0,0,"SINOE",5,0,0
"594","Sierra Leone","BO","1/27/14",0,0,0,0,"BO",5,0,0
"596","Sierra Leone","BOMBALI","1/27/14",0,0,0,0,"BOMBALI",5,0,0
"598","Sierra Leone","BONTHE","1/27/14",0,0,0,0,"BONTHE",5,0,0
